Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Basic,Unemployed,0,Single,74,1,2,Offer1,Four-Door Car,7627.026893
Basic,Unemployed,0,Single,61,0,2,Offer1,Four-Door Car,6500.409697
Basic,Employed,62291,Married,87.64231479,0,4,Offer2,Sports Car,7870.360084
Basic,Employed,65794,Married,76.24218947,0,1,Offer2,Two-Door Car,2759.978287
Premium,Employed,90016,Married,102,0,2,Offer2,Two-Door Car,12280.76661
Basic,Employed,31357,Married,63,0,1,Offer2,Four-Door Car,2498.35063
Extended,Unemployed,0,Single,95,0,3,Offer1,Four-Door Car,6611.118163
Basic,Employed,35625,Married,65,1,3,Offer2,Four-Door Car,5107.163002
Basic,Employed,57883,Married,69,0,6,Offer1,Four-Door Car,5595.389905
Premium,Employed,60021,Married,99,0,1,Offer2,Four-Door Car,3939.00637
Basic,Employed,55419,Married,73,0,3,Offer2,Two-Door Car,5838.89915
Extended,Employed,68297,Single,212,0,2,Offer2,Luxury Car,24543.19862
Basic,Employed,77060,Married,106,0,2,Offer1,SUV,12941.73353
Basic,Disabled,24732,Married,100,0,1,Offer1,SUV,3964.151263
Basic,Employed,96331,Married,109.1522505,0,3,Offer3,SUV,9150.137599
Basic,Employed,30893,Divorced,70,0,1,Offer3,Four-Door Car,2776.748342
Basic,Unemployed,0,Single,61,0,7,Offer3,Four-Door Car,4242.69282
Basic,Employed,86631,Divorced,73,1,1,Offer3,Four-Door Car,2845.520933
Basic,Medical Leave,29735,Single,69,0,1,Offer1,Four-Door Car,2453.570794
Basic,Unemployed,0,Single,65,0,3,Offer1,Four-Door Car,4853.534204
Basic,Employed,84183,Single,72,0,4,Offer1,Four-Door Car,5715.312991
Extended,Employed,98917,Married,79,0,6,Offer2,Four-Door Car,5969.55297
Extended,Employed,66429,Married,136,0,1,Offer2,Sports Car,5389.499465
Basic,Employed,81064,Married,68,0,3,Offer2,Four-Door Car,5354.612433
Basic,Employed,92079,Married,65,1,2,Offer4,Four-Door Car,20708.25881
Extended,Employed,41273,Married,77,0,1,Offer2,Four-Door Car,3087.249746
Basic,Medical Leave,20832,Married,65,0,2,Offer1,Two-Door Car,22855.61209
Basic,Unemployed,0,Single,74,2,2,Offer2,Four-Door Car,16236.47626
Basic,Employed,83846,Married,73,3,2,Offer2,Four-Door Car,8714.922135
Basic,Employed,50320,Married,73,0,5,Offer4,Four-Door Car,5846.520588
Basic,Employed,40896,Married,109,0,1,Offer1,Sports Car,4379.92784
Basic,Unemployed,0,Married,115,2,5,Offer2,Sports Car,8535.108918
Extended,Employed,57709,Married,125,0,1,Offer2,SUV,5073.282126
Basic,Employed,22331,Divorced,64,0,1,Offer2,Four-Door Car,2487.358049
Basic,Unemployed,0,Single,66.10210663,2,3,Offer1,Four-Door Car,4130.382954
Basic,Employed,98338,Single,65,0,1,Offer3,Four-Door Car,2617.182661
Basic,Unemployed,0,Single,188,0,7,Offer1,Luxury Car,13092.58578
Extended,Employed,74918,Married,83,0,1,Offer3,Four-Door Car,3362.551989
Extended,Unemployed,0,Single,128,0,6,Offer1,SUV,9234.277026
Basic,Medical Leave,26304,Single,63,0,1,Offer1,Four-Door Car,2345.129694
Extended,Employed,44695,Married,134,0,3,Offer1,Sports Car,10745.97948
Basic,Unemployed,0,Single,194,0,3,Offer3,Luxury SUV,13379.81103
Basic,Employed,50406,Divorced,70,0,9,Offer1,Four-Door Car,5519.078475
Basic,Employed,82664,Married,114,3,9,Offer2,SUV,8838.085637
Extended,Unemployed,0,Married,97,1,9,Offer3,Two-Door Car,6677.418103
Extended,Employed,48552,Married,94,0,9,Offer4,Four-Door Car,7477.176362
Premium,Employed,66839,Single,154,0,1,Offer2,Sports Car,5989.773931
Basic,Employed,68717,Divorced,70,0,2,Offer4,Four-Door Car,8383.677045
Extended,Employed,27354,Married,86,1,7,Offer4,Two-Door Car,6775.924167
Extended,Employed,34835,Married,89,2,9,Offer1,Two-Door Car,6981.081694
Basic,Employed,73168,Married,70,0,3,Offer2,Four-Door Car,5639.941974
Basic,Unemployed,0,Married,180,0,2,Offer2,Luxury SUV,39033.08248
Basic,Employed,62922,Married,194,0,7,Offer1,Luxury Car,15558.44195
Extended,Employed,72667,Married,80,0,9,Offer1,Four-Door Car,6395.351807
Extended,Unemployed,0,Married,84,0,5,Offer3,Four-Door Car,6105.801637
Basic,Employed,82297,Single,75.76228462,0,1,Offer1,Sports Car,4538.847818
Basic,Employed,61900,Single,65,0,1,Offer1,Four-Door Car,2567.346739
Basic,Employed,26676,Married,112,0,1,Offer2,SUV,4389.279424
Extended,Employed,37518,Married,131,0,6,Offer1,Sports Car,10529.84867
Extended,Employed,90167,Single,131,0,1,Offer1,SUV,5200.076742
Extended,Retired,13528,Single,86,0,3,Offer1,Four-Door Car,6005.847375
Premium,Employed,90016,Married,102,4,2,Offer1,Four-Door Car,11785.04181
Basic,Employed,48039,Married,68,0,1,Offer3,Four-Door Car,2726.834065
Basic,Employed,36839,Married,61,0,3,Offer2,Four-Door Car,4862.908979
Basic,Unemployed,0,Married,73,0,5,Offer1,Four-Door Car,5504.139033
Basic,Employed,44762,Single,62,0,3,Offer2,Four-Door Car,4931.258363
Basic,Employed,40870,Married,103.4950607,0,2,Offer1,Sports Car,12375.02163
Extended,Unemployed,0,Single,80,0,2,Offer1,Four-Door Car,8167.992322
Basic,Employed,29822,Single,63,0,2,Offer4,Two-Door Car,16477.47799
Premium,Employed,63891,Married,119,0,1,Offer4,Two-Door Car,4742.106389
Basic,Employed,62902,Married,68,0,2,Offer3,Two-Door Car,8262.879764
Extended,Employed,60944,Married,130,2,4,Offer2,SUV,10080.37031
Extended,Disabled,16969,Divorced,124,2,1,Offer1,SUV,4499.493252
Extended,Employed,30720,Married,139,4,5,Offer3,SUV,10018.66117
Extended,Unemployed,0,Married,76,0,2,Offer4,Four-Door Car,8092.87696
Basic,Employed,73536,Married,67,0,6,Offer2,Two-Door Car,5419.45812
Extended,Unemployed,0,Single,91,0,3,Offer1,Two-Door Car,6239.257541
Premium,Employed,48096,Married,131,0,2,Offer2,Sports Car,15739.92367
Basic,Medical Leave,25965,Divorced,65,0,1,Offer1,Four-Door Car,2491.257604
Basic,Retired,17622,Divorced,65,1,3,Offer1,Four-Door Car,4458.113369
Premium,Employed,44222,Married,104,0,1,Offer3,Four-Door Car,4177.288153
Basic,Medical Leave,17576,Married,71,0,1,Offer2,Four-Door Car,2722.210707
Extended,Disabled,29958,Married,90,0,1,Offer4,Four-Door Car,3423.973171
Basic,Employed,37998,Married,61,0,7,Offer2,Four-Door Car,4881.299084
Basic,Employed,64692,Married,70,0,2,Offer1,Two-Door Car,8435.176463
Extended,Unemployed,0,Married,89,0,2,Offer3,Four-Door Car,30205.01297
Premium,Employed,96200,Married,107,0,3,Offer2,Two-Door Car,8632.783576
Basic,Employed,51294,Married,116,0,2,Offer2,SUV,18572.01022
Basic,Employed,57925,Single,72,1,3,Offer1,Two-Door Car,5583.068307
Basic,Employed,62777,Married,66,0,1,Offer2,Four-Door Car,2656.846648
Basic,Unemployed,0,Divorced,66,4,1,Offer1,Four-Door Car,2004.350666
Basic,Employed,50414,Married,69,0,1,Offer2,Four-Door Car,2753.312714
Extended,Unemployed,0,Married,122,2,3,Offer1,SUV,8630.696198
Basic,Medical Leave,18846,Married,115,0,3,Offer1,SUV,9034.305834
Basic,Employed,75988,Married,65,0,2,Offer2,Four-Door Car,7912.132168
Premium,Employed,51944,Married,122.1463727,0,1,Offer3,SUV,6863.124573
Basic,Medical Leave,11343,Married,72,0,8,Offer1,Four-Door Car,5507.242176
Premium,Employed,61337,Married,105,0,9,Offer1,SUV,8447.888167
Basic,Employed,35398,Married,71,0,8,Offer1,Four-Door Car,5555.492159
Basic,Medical Leave,22338,Married,67,1,9,Offer1,Two-Door Car,5123.196814
Extended,Employed,94880,Single,79,3,3,Offer1,Four-Door Car,6271.315156
Premium,Employed,62588,Single,104,0,3,Offer4,Four-Door Car,8246.830811
Extended,Employed,93405,Married,80,0,1,Offer2,Four-Door Car,3210.417377
Basic,Employed,32823,Married,100,0,8,Offer2,SUV,7824.372789
Basic,Unemployed,0,Married,73,0,7,Offer2,Two-Door Car,5325.724541
Basic,Employed,90443,Divorced,66,0,1,Offer3,Two-Door Car,2644.983484
Extended,Employed,83385,Divorced,131,2,2,Offer3,SUV,26122.12998
Basic,Employed,48328,Married,63,0,7,Offer2,Two-Door Car,5012.083744
Extended,Medical Leave,20072,Married,82,0,9,Offer1,Four-Door Car,6182.618843
Basic,Disabled,28647,Married,66,0,6,Offer1,Four-Door Car,4960.548942
Premium,Employed,63774,Divorced,111,0,1,Offer2,Four-Door Car,4376.363592
Extended,Unemployed,0,Single,124,0,1,Offer1,SUV,4454.104455
Extended,Employed,61650,Single,88,0,2,Offer2,Four-Door Car,10506.93706
Premium,Unemployed,0,Married,109,2,1,Offer4,SUV,3721.390713
Basic,Employed,61067,Married,64,1,3,Offer2,Four-Door Car,5067.635525
Basic,Employed,33799,Married,74,1,3,Offer3,Four-Door Car,5791.012841
Basic,Disabled,11432,Married,119,0,2,Offer2,SUV,13466.92071
Extended,Employed,58213,Married,79,0,1,Offer1,Four-Door Car,3155.911309
Basic,Employed,30376,Single,66,0,6,Offer1,Four-Door Car,5167.357134
Basic,Employed,78152,Married,114,0,1,Offer4,SUV,4631.011293
Basic,Unemployed,0,Single,74,0,1,Offer2,Four-Door Car,2711.899826
Basic,Employed,29822,Single,63,0,2,Offer2,Two-Door Car,18474.71111
Basic,Employed,56516,Married,104,1,2,Offer1,SUV,32021.40422
Premium,Unemployed,0,Married,96,0,1,Offer4,Two-Door Car,3731.504584
Premium,Employed,32051,Married,193,1,1,Offer1,SUV,7724.840065
Extended,Unemployed,0,Married,124,0,1,Offer2,SUV,4516.811394
Basic,Disabled,22594,Married,67,0,3,Offer1,Four-Door Car,5146.80976
Basic,Retired,28142,Married,105,0,1,Offer2,Sports Car,3873.647046
Basic,Medical Leave,29735,Single,69,0,1,Offer1,Four-Door Car,2453.570794
Extended,Employed,83252,Married,80,0,1,Offer2,Four-Door Car,3226.850118
Extended,Retired,20983,Single,97,0,2,Offer1,Four-Door Car,24278.10167
Basic,Employed,50071,Single,71,0,1,Offer2,Two-Door Car,2771.045031
Premium,Unemployed,0,Single,134,1,8,Offer1,SUV,10036.53634
Basic,Employed,86451,Married,64,0,3,Offer3,Four-Door Car,5186.359717
Basic,Employed,25581,Married,105,0,1,Offer2,SUV,4194.659772
Extended,Disabled,25259,Married,87,0,9,Offer3,Four-Door Car,6842.580052
Extended,Employed,33599,Married,78,0,2,Offer1,Four-Door Car,9415.527031
Extended,Employed,44527,Married,94,2,5,Offer1,Four-Door Car,7163.796624
Basic,Employed,28909,Married,66,0,8,Offer1,Four-Door Car,5246.278375
Basic,Unemployed,0,Married,72,0,1,Offer2,Four-Door Car,2703.466256
Basic,Employed,88059,Married,64,0,1,Offer1,Two-Door Car,2557.094323
Basic,Employed,35832,Single,69,0,3,Offer1,Two-Door Car,5040.412436
Basic,Employed,20868,Married,63,0,8,Offer3,Four-Door Car,5016.827946
Basic,Unemployed,0,Single,118.5654086,2,1,Offer3,Four-Door Car,3745.374656
Premium,Employed,98138,Married,96,1,2,Offer4,Four-Door Car,11533.96706
Basic,Employed,89689,Divorced,74,0,2,Offer1,Four-Door Car,8972.140307
Basic,Employed,29227,Married,74,0,7,Offer1,Two-Door Car,5897.555427
Premium,Unemployed,0,Single,104,0,1,Offer3,Two-Door Car,3479.137523
Basic,Unemployed,0,Married,63,0,2,Offer4,Two-Door Car,21283.6362
Extended,Employed,72786,Married,76,0,2,Offer4,Four-Door Car,24610.78085
Basic,Employed,95330,Married,113,0,3,Offer4,Sports Car,9135.291575
Basic,Unemployed,0,Married,67,0,1,Offer1,Four-Door Car,2590.840183
Basic,Employed,88294,Married,108,0,6,Offer1,SUV,8693.649178
Extended,Unemployed,0,Single,132,0,2,Offer1,SUV,18898.32653
Basic,Employed,79487,Married,111.1562031,1,1,Offer1,SUV,4598.235733
Basic,Unemployed,0,Single,73,0,8,Offer1,Two-Door Car,5008.789971
Basic,Employed,46264,Married,61,0,1,Offer1,Two-Door Car,2389.774148
Basic,Employed,43860,Single,65,0,1,Offer2,Four-Door Car,2514.59196
Extended,Unemployed,0,Single,133,0,1,Offer1,SUV,4623.536706
Extended,Employed,33032,Married,86,1,2,Offer2,Two-Door Car,23777.81427
Basic,Unemployed,0,Single,113,0,7,Offer1,SUV,7923.136624
Extended,Employed,90778,Married,96.05947657,0,1,Offer1,Sports Car,5341.438779
Basic,Employed,49746,Single,61,0,1,Offer2,Two-Door Car,2369.369299
Basic,Employed,31503,Married,105,3,2,Offer1,SUV,32098.32209
Basic,Unemployed,0,Divorced,68,3,3,Offer2,Two-Door Car,4318.088108
Basic,Employed,81676,Married,72,0,8,Offer1,Two-Door Car,5773.520711
Basic,Employed,27382,Married,71,0,1,Offer2,Four-Door Car,2858.087414
Basic,Employed,79292,Single,67,0,1,Offer3,Four-Door Car,2701.039719
Premium,Employed,98003,Single,113,0,3,Offer3,Sports Car,8509.850887
Extended,Medical Leave,22490,Married,90,0,8,Offer1,Two-Door Car,7126.263963
Basic,Unemployed,0,Single,61,0,2,Offer1,Two-Door Car,13009.18057
Extended,Unemployed,0,Single,90,1,5,Offer1,Four-Door Car,6238.054416
Extended,Employed,44695,Married,79,2,2,Offer1,Two-Door Car,21522.94749
Basic,Employed,74015,Single,72,0,6,Offer2,Four-Door Car,5555.830205
Basic,Employed,39618,Married,68,0,1,Offer1,Four-Door Car,2712.832687
Basic,Employed,84424,Married,66,0,9,Offer2,Four-Door Car,5339.388388
Basic,Unemployed,0,Married,65,1,1,Offer2,Four-Door Car,2357.801509
Basic,Unemployed,0,Single,71,0,2,Offer4,Four-Door Car,22500.88348
Extended,Medical Leave,20978,Married,98,1,1,Offer2,Four-Door Car,3508.569533
Basic,Unemployed,0,Single,72,0,1,Offer1,Two-Door Car,2433.913419
Basic,Employed,86933,Married,63,0,1,Offer3,Two-Door Car,2535.266473
Extended,Employed,68332,Married,79,3,8,Offer2,Four-Door Car,6240.903564
Extended,Employed,27279,Married,137,0,5,Offer1,SUV,10845.74473
Basic,Employed,28128,Married,70,0,4,Offer3,Two-Door Car,5497.659883
Extended,Employed,82918,Married,89,0,1,Offer2,Two-Door Car,3590.693623
Extended,Unemployed,0,Single,86,0,8,Offer3,Four-Door Car,6179.699689
Basic,Employed,85140,Single,92.07318269,4,1,Offer1,SUV,4554.557242
Extended,Employed,94415,Married,127,1,1,Offer1,Sports Car,5113.874718
Basic,Retired,28142,Married,105,0,1,Offer2,Sports Car,3873.647046
Extended,Unemployed,0,Single,91,0,5,Offer1,Four-Door Car,6679.139606
Premium,Unemployed,0,Single,105,0,1,Offer1,Four-Door Car,3692.583567
Premium,Employed,57449,Single,103,0,2,Offer1,Four-Door Car,12157.32992
Basic,Employed,88731,Married,66,0,1,Offer4,Four-Door Car,2639.644171
Basic,Employed,48597,Single,71,5,1,Offer4,Four-Door Car,2488.241391
Extended,Employed,64744,Divorced,139,0,5,Offer4,SUV,10861.71019
Basic,Employed,85185,Married,107,0,5,Offer1,SUV,8709.847614
Extended,Employed,47606,Divorced,81,0,4,Offer3,Two-Door Car,6411.675304
Basic,Unemployed,0,Single,74,0,1,Offer4,Four-Door Car,2781.589027
Basic,Employed,97592,Divorced,65,0,2,Offer4,Four-Door Car,7756.437921
Basic,Employed,56005,Married,68,1,3,Offer1,Four-Door Car,5479.555081
Premium,Employed,83413,Divorced,116,0,1,Offer2,SUV,4742.617289
Extended,Unemployed,0,Single,81,0,2,Offer2,Four-Door Car,8555.887254
Extended,Employed,62421,Divorced,80,0,2,Offer1,Four-Door Car,9536.338382
Basic,Employed,92374,Divorced,109,0,3,Offer1,SUV,8838.085637
Basic,Employed,40525,Married,73,1,1,Offer2,Four-Door Car,2872.669164
Basic,Employed,36313,Single,69,3,7,Offer3,Two-Door Car,5003.336664
Extended,Unemployed,0,Single,129,0,3,Offer1,Sports Car,9333.076001
Premium,Employed,71034,Married,103,0,3,Offer1,Four-Door Car,8283.066678
Extended,Retired,13663,Single,97,0,2,Offer1,Four-Door Car,25464.82059
Extended,Employed,21509,Single,81,1,2,Offer4,Two-Door Car,8888.875454
Extended,Employed,51504,Single,220,0,2,Offer1,Luxury SUV,43217.21611
Premium,Employed,45354,Married,285,0,1,Offer4,Luxury SUV,11463.99097
Basic,Employed,89410,Divorced,74,0,1,Offer2,Four-Door Car,2945.998877
Basic,Employed,29462,Single,107,1,1,Offer2,SUV,4170.687348
Basic,Retired,23909,Single,119,0,2,Offer1,SUV,21569.33731
Basic,Unemployed,0,Single,73,0,5,Offer1,Four-Door Car,4433.97368
Basic,Retired,20228,Divorced,101,1,2,Offer1,SUV,10408.96865
Basic,Employed,72421,Married,65,0,1,Offer2,Four-Door Car,2592.437797
Extended,Disabled,18690,Married,80,0,5,Offer1,Four-Door Car,6104.501453
Extended,Employed,88782,Divorced,78,0,1,Offer4,Four-Door Car,3118.927949
Basic,Employed,87798,Married,73.99612981,0,1,Offer2,Four-Door Car,2860.864563
Premium,Employed,55687,Divorced,276,0,1,Offer1,Luxury SUV,10963.95723
Basic,Employed,97424,Married,68,0,5,Offer1,Two-Door Car,5556.282281
Basic,Unemployed,0,Single,68,0,1,Offer1,Four-Door Car,2369.439009
Extended,Employed,90874,Married,137,4,3,Offer1,SUV,10628.06415
Extended,Employed,71210,Married,201,1,2,Offer1,Luxury Car,25674.14895
Extended,Disabled,17157,Married,123,0,2,Offer1,SUV,14267.93156
Basic,Employed,77512,Divorced,104,0,6,Offer2,SUV,8370.401649
Basic,Unemployed,0,Single,72,0,1,Offer2,Two-Door Car,2454.589361
Basic,Unemployed,0,Married,71,0,1,Offer2,Two-Door Car,2615.911934
Basic,Employed,76778,Married,107,1,1,Offer1,SUV,4298.664542
Extended,Employed,50052,Single,123,0,1,Offer1,SUV,4887.794108
Basic,Unemployed,0,Single,67,0,2,Offer1,Four-Door Car,22315.05787
Basic,Employed,40870,Married,105,0,2,Offer1,SUV,12731.95161
Extended,Employed,25820,Divorced,82,0,1,Offer1,Four-Door Car,3265.156348
Basic,Unemployed,0,Married,89.35306682,0,2,Offer3,Two-Door Car,17793.60797
Basic,Employed,53231,Married,101,0,3,Offer4,SUV,8022.686194
Basic,Employed,94161,Married,69,0,4,Offer2,Four-Door Car,5586.893159
Basic,Unemployed,0,Single,108,0,1,Offer1,SUV,3622.872124
Basic,Unemployed,0,Single,65,0,1,Offer3,Two-Door Car,2274.647023
Premium,Unemployed,0,Married,290,0,5,Offer1,Luxury Car,21766.83059
Basic,Employed,30855,Married,68,0,7,Offer2,Four-Door Car,5453.861203
Basic,Unemployed,0,Married,72,0,4,Offer4,Four-Door Car,5248.978048
Extended,Employed,62455,Married,77,1,5,Offer2,Two-Door Car,6104.849081
Premium,Employed,48767,Married,108,0,2,Offer1,Two-Door Car,12887.43165
Extended,Unemployed,0,Married,92,2,3,Offer3,Four-Door Car,6637.228238
Basic,Employed,72353,Divorced,66,0,2,Offer2,Two-Door Car,7812.889738
Basic,Employed,50405,Divorced,70,0,9,Offer3,Four-Door Car,5372.914477
Basic,Employed,38795,Married,65,0,3,Offer2,Four-Door Car,5133.635886
Extended,Employed,87050,Married,114.4750345,0,1,Offer1,Sports Car,5004.135361
Basic,Employed,36153,Married,121.3129882,0,2,Offer3,Sports Car,19079.09518
Extended,Employed,94652,Married,86,0,3,Offer1,Four-Door Car,6992.531494
Extended,Employed,87810,Married,94,3,2,Offer3,Four-Door Car,11373.98852
Basic,Employed,62291,Married,100,0,3,Offer2,Sports Car,7901.697919
Extended,Employed,33157,Married,124,0,3,Offer2,SUV,9988.787618
Basic,Employed,36900,Single,61,3,2,Offer1,Two-Door Car,17646.72772
Extended,Employed,46503,Divorced,215,0,1,Offer1,Luxury SUV,8427.172486
Basic,Employed,50512,Married,66,0,1,Offer1,Four-Door Car,2637.602689
Basic,Unemployed,0,Single,68,0,6,Offer2,Two-Door Car,4794.116328
Extended,Employed,56980,Married,86,0,9,Offer2,Four-Door Car,6689.022728
Basic,Unemployed,0,Single,114,0,1,Offer1,SUV,4108.257228
Extended,Employed,44019,Married,138,0,1,Offer3,SUV,5500.577411
Basic,Medical Leave,22520,Married,73,0,3,Offer3,Four-Door Car,5498.940679
Extended,Employed,20396,Married,79.14729289,1,4,Offer2,Four-Door Car,6047.02516
Basic,Unemployed,0,Single,69,2,3,Offer3,Four-Door Car,4502.667305
Premium,Unemployed,0,Married,141,0,1,Offer4,SUV,5191.047011
Basic,Employed,67197,Single,111,0,2,Offer1,SUV,13111.11319
Basic,Employed,20497,Married,65,0,2,Offer4,Four-Door Car,7785.666532
Premium,Employed,69872,Married,111,2,2,Offer2,Sports Car,30859.36361
Extended,Unemployed,0,Married,90,1,3,Offer4,Two-Door Car,6237.507291
Extended,Medical Leave,11904,Single,123,0,1,Offer2,SUV,4270.034394
Extended,Unemployed,0,Single,92,0,1,Offer1,Four-Door Car,3300.684961
Basic,Employed,73742,Single,68,0,3,Offer2,Two-Door Car,5278.183759
Basic,Employed,65196,Divorced,71,0,2,Offer3,Four-Door Car,23675.02939
Extended,Unemployed,0,Single,129,0,1,Offer4,SUV,4470.181084
Extended,Unemployed,0,Divorced,82,1,3,Offer1,Two-Door Car,5454.890731
Basic,Retired,21442,Divorced,118,0,3,Offer2,SUV,8312.681598
Basic,Employed,21927,Married,71,0,2,Offer2,Four-Door Car,25002.01883
Extended,Employed,98138,Married,95,3,2,Offer2,Four-Door Car,11323.35555
Basic,Employed,63223,Married,71,0,1,Offer3,Two-Door Car,2797.759849
Basic,Employed,70619,Married,199,0,5,Offer4,Luxury Car,15167.04402
Extended,Employed,87615,Married,94,0,3,Offer3,Four-Door Car,7573.336505
Basic,Employed,71391,Married,67,0,2,Offer2,Four-Door Car,8044.872393
Basic,Unemployed,0,Married,64,0,2,Offer1,Four-Door Car,7046.478698
Basic,Unemployed,0,Single,72,0,1,Offer2,Two-Door Car,2499.411829
Premium,Disabled,26303,Divorced,165,0,1,Offer4,SUV,5999.380228
Basic,Employed,40467,Married,197,3,3,Offer1,Luxury SUV,15167.04402
Basic,Employed,88440,Single,70,0,2,Offer4,Two-Door Car,24980.22553
Basic,Employed,53882,Married,69,0,1,Offer1,Four-Door Car,2790.682957
Extended,Unemployed,0,Single,80,0,1,Offer2,Four-Door Car,2991.696011
Basic,Unemployed,0,Married,73,0,3,Offer2,Four-Door Car,5380.316469
Basic,Employed,22814,Divorced,73,0,9,Offer2,Four-Door Car,5749.883799
Premium,Employed,34161,Married,137.4339379,0,1,Offer3,SUV,7212.523911
Premium,Unemployed,0,Single,106,1,1,Offer1,Four-Door Car,3761.792015
Basic,Employed,22697,Divorced,186,1,8,Offer1,Luxury SUV,14318.44839
Basic,Unemployed,0,Single,63,0,1,Offer3,Four-Door Car,2302.818965
Basic,Disabled,16976,Married,69,0,1,Offer1,Four-Door Car,2631.87754
Premium,Employed,49746,Married,111,3,1,Offer1,Four-Door Car,4240.925575
Basic,Unemployed,0,Divorced,66,0,6,Offer1,Four-Door Car,4882.073243
Basic,Employed,29491,Married,61,0,2,Offer3,Four-Door Car,7347.410517
Extended,Employed,72517,Married,82,0,2,Offer2,Two-Door Car,13156.74895
Basic,Employed,43072,Married,63,0,1,Offer2,Four-Door Car,2523.07015
Basic,Employed,93403,Married,72,0,1,Offer2,Four-Door Car,2913.475108
Extended,Unemployed,0,Single,222,0,7,Offer1,Luxury SUV,15638.57599
Extended,Employed,45587,Married,77,0,1,Offer3,Two-Door Car,2980.010499
Basic,Employed,79027,Single,70,0,5,Offer1,Four-Door Car,5511.491102
Basic,Unemployed,0,Divorced,64,0,1,Offer1,Four-Door Car,2352.3679
Basic,Employed,43460,Married,63,0,3,Offer3,Four-Door Car,5065.935608
Basic,Employed,83413,Married,118,0,1,Offer2,SUV,4743.694528
Basic,Employed,66620,Married,70,0,7,Offer3,Four-Door Car,5619.849825
Basic,Medical Leave,23305,Married,68,0,1,Offer2,Four-Door Car,2671.166649
Basic,Employed,51883,Married,66,0,9,Offer2,Two-Door Car,5194.654884
Extended,Unemployed,0,Single,91,0,1,Offer2,Four-Door Car,3135.579831
Basic,Medical Leave,14306,Divorced,74,3,7,Offer2,Four-Door Car,5264.361755
Basic,Unemployed,0,Single,73,3,5,Offer3,Four-Door Car,4468.510542
Extended,Unemployed,0,Single,75.11150294,0,3,Offer1,Four-Door Car,4931.258363
Basic,Unemployed,0,Single,64,0,5,Offer1,Four-Door Car,4466.101762
Basic,Disabled,26444,Married,196,0,1,Offer1,Luxury Car,7744.644444
Basic,Employed,59839,Married,101,0,3,Offer2,SUV,8087.219475
Basic,Medical Leave,11167,Married,73,3,1,Offer2,Two-Door Car,2568.843396
Basic,Medical Leave,29735,Single,69,0,1,Offer1,Four-Door Car,2453.570794
Basic,Employed,59855,Married,74,4,1,Offer2,Two-Door Car,2771.663013
Basic,Unemployed,0,Married,101,0,6,Offer1,SUV,7399.032079
Basic,Employed,34807,Single,73,0,1,Offer1,Two-Door Car,2854.26694
Basic,Employed,95621,Married,66,5,2,Offer4,Two-Door Car,20474.14563
Extended,Employed,66947,Divorced,80,0,5,Offer4,Two-Door Car,6331.338496
Basic,Employed,65473,Married,67,0,2,Offer2,Four-Door Car,8007.349108
Extended,Employed,37839,Married,84.2385136,0,9,Offer2,Two-Door Car,6806.491395
Basic,Unemployed,0,Single,64,0,1,Offer1,Two-Door Car,2363.295991
Basic,Unemployed,0,Divorced,72,0,2,Offer1,Two-Door Car,7863.02773
Extended,Employed,78784,Married,80,0,1,Offer2,Four-Door Car,3199.824902
Extended,Unemployed,0,Divorced,139,0,2,Offer1,SUV,14635.45158
Premium,Employed,34337,Married,113,0,9,Offer2,Four-Door Car,9035.671134
Basic,Disabled,28898,Married,67,0,1,Offer1,Four-Door Car,2531.586761
Extended,Employed,84146,Married,82,0,7,Offer4,Four-Door Car,6575.451884
Extended,Employed,87050,Married,129,0,1,Offer4,SUV,5160.251878
Premium,Employed,53503,Single,114,0,7,Offer1,Four-Door Car,8873.525122
Extended,Employed,30430,Single,86,0,2,Offer4,Four-Door Car,9707.647552
Extended,Employed,49673,Married,232,0,7,Offer2,Luxury SUV,18611.45356
Extended,Unemployed,0,Single,136.0553474,0,1,Offer1,SUV,4690.793868
Extended,Employed,57177,Married,92,0,2,Offer4,Four-Door Car,18196.63824
Basic,Employed,72302,Divorced,66,0,1,Offer1,Two-Door Car,2616.613903
Basic,Employed,26744,Married,67,1,1,Offer2,Four-Door Car,2685.901421
Basic,Employed,95427,Married,76.94144663,0,4,Offer2,Four-Door Car,5111.357987
Basic,Employed,25141,Divorced,73,1,2,Offer3,Four-Door Car,8456.961887
Basic,Unemployed,0,Single,101,0,1,Offer1,SUV,3744.577726
Extended,Employed,58703,Married,127,2,6,Offer3,SUV,9927.877699
Basic,Employed,83846,Married,74,3,2,Offer2,Four-Door Car,8717.049833
Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car,2582.408525
Basic,Employed,97026,Married,73,0,3,Offer2,Two-Door Car,5876.373894
Basic,Unemployed,0,Divorced,73,0,1,Offer1,Four-Door Car,2557.094323
Basic,Employed,40864,Married,109,1,1,Offer1,SUV,4282.947971
Extended,Unemployed,0,Divorced,87,3,1,Offer2,Four-Door Car,2659.70565
Basic,Employed,98003,Divorced,107,0,7,Offer3,SUV,8501.279969
Extended,Unemployed,0,Married,122,0,1,Offer2,SUV,4270.034394
Basic,Employed,89158,Single,67,0,6,Offer1,Four-Door Car,5349.996572
